Postal Code,Place Name,State,County,Latitude,Longitude
1670,Kråkerøy,Ostfold,Fredrikstad,59.2,10.9333
1671,Kråkerøy,Ostfold,Fredrikstad,59.2,10.9333
1672,Kråkerøy,Ostfold,Fredrikstad,59.2,10.9333
1673,Kråkerøy,Ostfold,Fredrikstad,59.2,10.9333
1675,Kråkerøy,Ostfold,Fredrikstad,59.2,10.9333
1676,Kråkerøy,Ostfold,Fredrikstad,59.1467,10.9403
1678,Kråkerøy,Ostfold,Fredrikstad,59.2,10.9333
1679,Kråkerøy,Ostfold,Fredrikstad,59.2,10.9333
1680,Skjærhalden,Ostfold,Hvaler,59.0253,11.0368
1682,Skjærhalden,Ostfold,Hvaler,59.0253,11.0368
1683,Vesterøy,Ostfold,Hvaler,59.1102,10.9096
1684,Vesterøy,Ostfold,Hvaler,59.1025,10.8716
1690,Herføl,Ostfold,Hvaler,59,11.05
1692,Nedgården,Ostfold,Hvaler,59,11.05
1798,Aremark,Ostfold,Aremark,59.2386,11.6934
1799,Aremark,Ostfold,Aremark,59.2462,11.6828
1870,Ørje,Ostfold,Marker,59.4802,11.6602
1871,Ørje,Ostfold,Marker,59.4802,11.6602
1875,Otteid,Ostfold,Marker,59.3518,11.7145
1950,Rømskog,Ostfold,Rømskog,59.7497,11.8112
1860,Trøgstad,Ostfold,Trøgstad,59.6407,11.3159
1861,Trøgstad,Ostfold,Trøgstad,59.6408,11.3164
1866,Båstad,Ostfold,Trøgstad,59.6997,11.2981
1867,Båstad,Ostfold,Trøgstad,59.705,11.2945
1804,Spydeberg,Ostfold,Spydeberg,59.6171,11.0856
1820,Spydeberg,Ostfold,Spydeberg,59.6171,11.0856
1801,Askim,Ostfold,Askim,59.5833,11.1629
1802,Askim,Ostfold,Askim,59.5833,11.1629
1803,Askim,Ostfold,Askim,59.5833,11.1629
1807,Askim,Ostfold,Askim,59.5833,11.1629
1808,Askim,Ostfold,Askim,59.5833,11.1629
1809,Askim,Ostfold,Askim,59.5833,11.1629
1811,Askim,Ostfold,Askim,59.5833,11.1629
1812,Askim,Ostfold,Askim,59.5833,11.1629
1813,Askim,Ostfold,Askim,59.5833,11.1629
1814,Askim,Ostfold,Askim,59.5833,11.1629
1815,Askim,Ostfold,Askim,59.5833,11.1629
1830,Askim,Ostfold,Askim,59.5833,11.1629
1831,Askim,Ostfold,Askim,59.5833,11.1629
1832,Askim,Ostfold,Askim,59.5833,11.1629
1850,Mysen,Ostfold,Eidsberg,59.5535,11.3258
1851,Mysen,Ostfold,Eidsberg,59.5535,11.3258
1859,Slitu,Ostfold,Eidsberg,59.5854,11.2615
1878,Hærland,Ostfold,Eidsberg,59.5533,11.4237
1880,Eidsberg,Ostfold,Eidsberg,59.5167,11.2667
1806,Skiptvet,Ostfold,Skiptvet,59.4736,11.1615
1816,Skiptvet,Ostfold,Skiptvet,59.4692,11.1622
1890,Rakkestad,Ostfold,Rakkestad,59.4251,11.3454
1891,Rakkestad,Ostfold,Rakkestad,59.4251,11.3454
1892,Degernes,Ostfold,Rakkestad,59.3533,11.4226
1893,Degernes,Ostfold,Rakkestad,59.3563,11.422
1640,Råde,Ostfold,Råde,59.35,10.85
1641,Råde,Ostfold,Råde,59.35,10.85
1642,Saltnes,Ostfold,Råde,59.2875,10.7481
1520,Moss,Ostfold,Rygge,59.434,10.6577
1521,Moss,Ostfold,Rygge,59.434,10.6577
1522,Moss,Ostfold,Rygge,59.434,10.6577
1525,Moss,Ostfold,Rygge,59.434,10.6577
1526,Moss,Ostfold,Rygge,59.434,10.6577
1528,Moss,Ostfold,Rygge,59.434,10.6577
1529,Moss,Ostfold,Rygge,59.434,10.6577
1560,Larkollen,Ostfold,Rygge,59.3339,10.6656
1570,Dilling,Ostfold,Rygge,59.4,10.7
1580,Rygge,Ostfold,Rygge,59.3817,10.7514
1581,Rygge,Ostfold,Rygge,59.3817,10.7514
1590,Rygge Flystasjon,Ostfold,Rygge,59.4372,10.6862
1591,Sperrebotn,Ostfold,Våler,59.45,10.8
1592,Våler I Østfold,Ostfold,Våler,59.4372,10.6862
1593,Svinndal,Ostfold,Våler,59.4236,11.0167
1805,Tomter,Ostfold,Hobøl,59.65,11
1823,Knapstad,Ostfold,Hobøl,59.6333,11.05
1825,Tomter,Ostfold,Hobøl,59.65,11
1827,Hobøl,Ostfold,Hobøl,59.5587,10.8456
1540,Vestby,Akershus,Vestby,59.6024,10.7467
1541,Vestby,Akershus,Vestby,59.6024,10.7467
